4, 40320, Note_on_c, 0, 81, 127
4, 40320, Note_on_c, 0, 77, 111
4, 40320, Note_on_c, 0, 69, 111
4, 40320, Note_on_c, 0, 65, 111
4, 41700, Note_off_c, 0, 86, 80
4, 41700, Note_off_c, 0, 81, 80
4, 41700, Note_off_c, 0, 77, 80
4, 41700, Note_off_c, 0, 69, 80
4, 41700, Note_off_c, 0, 65, 80
4, 41760, Note_on_c, 0, 86, 127
4, 41760, Note_on_c, 0, 81, 127
4, 41760, Note_on_c, 0, 77, 111
4, 41760, Note_on_c, 0, 69, 111
4, 41760, Note_on_c, 0, 65, 111
4, 42120, Note_off_c, 0, 77, 80
4, 42120, Note_off_c, 0, 65, 80
4, 42180, Note_off_c, 0, 86, 80
4, 42180, Note_off_c, 0, 81, 80
4, 42180, Note_off_c, 0, 69, 80
4, 42240, Note_on_c, 0, 84, 127
4, 42240, Note_on_c, 0, 79, 127
4, 42240, Note_on_c, 0, 76, 111
4, 42240, Note_on_c, 0, 67, 111
4, 42240, Note_on_c, 0, 64, 111
4, 43920, Note_off_c, 0, 84, 80
4, 43920, Note_off_c, 0, 79, 80
4, 43920, Note_off_c, 0, 76, 80
4, 43920, Note_off_c, 0, 67, 80
4, 43920, Note_off_c, 0, 64, 80
4, 44160, Note_on_c, 0, 86, 127
4, 44160, Note_on_c, 0, 81, 127
4, 44160, Note_on_c, 0, 77, 111
4, 44160, Note_on_c, 0, 69, 111
4, 44160, Note_on_c, 0, 65, 111
4, 45540, Note_off_c, 0, 86, 80
4, 45540, Note_off_c, 0, 81, 80
4, 45540, Note_off_c, 0, 77, 80
4, 45540, Note_off_c, 0, 69, 80
4, 45540, Note_off_c, 0, 65, 80
4, 45600, Note_on_c, 0, 86, 127
4, 45600, Note_on_c, 0, 81, 127
4, 45600, Note_on_c, 0, 77, 111
4, 45600, Note_on_c, 0, 69, 111
4, 45600, Note_on_c, 0, 65, 111
4, 45960, Note_off_c, 0, 77, 80
4, 45960, Note_off_c, 0, 65, 80
4, 46020, Note_off_c, 0, 86, 80
4, 46020, Note_off_c, 0, 81, 80
4, 46020, Note_off_c, 0, 69, 80
4, 46080, Note_on_c, 0, 84, 127
4, 46080, Note_on_c, 0, 79, 127
4, 46080, Note_on_c, 0, 76, 111
4, 46080, Note_on_c, 0, 67, 111
4, 46080, Note_on_c, 0, 64, 111
4, 47760, Note_off_c, 0, 84, 80
4, 47760, Note_off_c, 0, 79, 80
4, 47760, Note_off_c, 0, 76, 80
4, 47760, Note_off_c, 0, 67, 80
4, 47760, Note_off_c, 0, 64, 80
4, 48000, Note_on_c, 0, 86, 127
4, 48000, Note_on_c, 0, 81, 127
4, 48000, Note_on_c, 0, 77, 111
4, 48000, Note_on_c, 0, 69, 111
4, 48000, Note_on_c, 0, 65, 111
4, 49380, Note_off_c, 0, 86, 80
4, 49380, Note_off_c, 0, 81, 80
4, 49380, Note_off_c, 0, 77, 80
4, 49380, Note_off_c, 0, 69, 80
4, 49380, Note_off_c, 0, 65, 80
4, 49440, Note_on_c, 0, 86, 127
4, 49440, Note_on_c, 0, 81, 127
4, 49440, Note_on_c, 0, 77, 111
4, 49440, Note_on_c, 0, 69, 111
4, 49440, Note_on_c, 0, 65, 111
4, 49800, Note_off_c, 0, 77, 80
4, 49800, Note_off_c, 0, 65, 80
4, 49860, Note_off_c, 0, 86, 80
4, 49860, Note_off_c, 0, 81, 80
4, 49860, Note_off_c, 0, 69, 80
4, 49920, Note_on_c, 0, 84, 127
4, 49920, Note_on_c, 0, 79, 127
4, 49920, Note_on_c, 0, 76, 111
4, 49920, Note_on_c, 0, 67, 111
4, 49920, Note_on_c, 0, 64, 111
4, 51600, Note_off_c, 0, 84, 80
4, 51600, Note_off_c, 0, 79, 80
4, 51600, Note_off_c, 0, 76, 80
4, 51600, Note_off_c, 0, 67, 80
4, 51600, Note_off_c, 0, 64, 80
4, 51840, Note_on_c, 0, 89, 111
4, 51840, Note_on_c, 0, 84, 111
4, 51840, Note_on_c, 0, 81, 95
4, 52560, Note_off_c, 0, 89, 80
4, 52560, Note_off_c, 0, 84, 80
4, 52560, Note_off_c, 0, 81, 80
4, 52800, Note_on_c, 0, 89, 111
4, 52800, Note_on_c, 0, 86, 111
4, 52800, Note_on_c, 0, 81, 95
4, 53520, Note_off_c, 0, 89, 80
4, 53520, Note_off_c, 0, 86, 80
4, 53520, Note_off_c, 0, 81, 80
4, 53760, Note_on_c, 0, 89, 111
4, 53760, Note_on_c, 0, 86, 111
4, 53760, Note_on_c, 0, 83, 95
4, 54480, Note_off_c, 0, 89, 80
4, 54480, Note_off_c, 0, 86, 80
4, 54480, Note_off_c, 0, 83, 80
4, 54720, Note_on_c, 0, 91, 111
4, 54720, Note_on_c, 0, 88, 111
4, 54720, Note_on_c, 0, 84, 95
4, 54960, Note_off_c, 0, 91, 80
4, 54960, Note_off_c, 0, 88, 80
4, 54960, Note_off_c, 0, 84, 80
4, 54960, Note_on_c, 0, 88, 111
4, 55200, Note_off_c, 0, 88, 80
4, 55200, Note_on_c, 0, 91, 111
4, 55200, Note_on_c, 0, 88, 111
4, 55200, Note_on_c, 0, 84, 95
4, 55440, Note_off_c, 0, 91, 80
4, 55440, Note_off_c, 0, 88, 80
4, 55440, Note_off_c, 0, 84, 80
4, 55440, Note_on_c, 0, 88, 111
4, 55680, Note_off_c, 0, 88, 80
4, 55680, Program_c, 0, 30
4, 55680, Program_c, 1, 30
4, 55920, Note_on_c, 0, 60, 111
4, 55920, Note_on_c, 0, 57, 111
4, 56160, Note_off_c, 0, 60, 80
4, 56160, Note_off_c, 0, 57, 80
4, 56160, Note_on_c, 0, 60, 111
4, 56160, Note_on_c, 0, 57, 111
4, 56640, Note_off_c, 0, 60, 80
4, 56640, Note_off_c, 0, 57, 80
4, 56640, Note_on_c, 0, 60, 111
4, 56640, Note_on_c, 0, 57, 111
4, 56880, Note_off_c, 0, 60, 80
4, 56880, Note_off_c, 0, 57, 80
4, 56880, Note_on_c, 0, 60, 111
4, 56880, Note_on_c, 0, 57, 111
4, 57120, Note_off_c, 0, 60, 80
4, 57120, Note_off_c, 0, 57, 80
4, 57120, Note_on_c, 0, 62, 111
4, 57120, Note_on_c, 0, 59, 111
4, 57360, Note_off_c, 0, 62, 80
