['2', ' 0', ' 3', ' 0', ' 0']
['3', ' 25824', ' 1', ' 1', ' 69', ' 79']
['3', ' 25888', ' 0', ' 1', ' 69', ' 64']
['3', ' 25920', ' 1', ' 1', ' 69', ' 79']
['3', ' 26048', ' 0', ' 1', ' 69', ' 64']
['3', ' 26592', ' 1', ' 1', ' 72', ' 79']
['3', ' 26656', ' 0', ' 1', ' 72', ' 64']
['3', ' 26688', ' 1', ' 1', ' 69', ' 79']
['3', ' 26752', ' 0', ' 1', ' 69', ' 64']
['3', ' 26784', ' 1', ' 1', ' 67', ' 79']
['3', ' 26848', ' 0', ' 1', ' 67', ' 64']
['3', ' 26880', ' 1', ' 1', ' 69', ' 79']
['3', ' 26944', ' 0', ' 1', ' 69', ' 64']
['3', ' 26976', ' 1', ' 1', ' 69', ' 79']
['3', ' 27040', ' 0', ' 1', ' 69', ' 64']
['3', ' 27072', ' 1', ' 1', ' 69', ' 79']
['3', ' 27136', ' 0', ' 1', ' 69', ' 64']
['3', ' 27168', ' 1', ' 1', ' 69', ' 79']
['3', ' 27232', ' 0', ' 1', ' 69', ' 64']
['3', ' 27264', ' 1', ' 1', ' 76', ' 79']
['3', ' 27360', ' 0', ' 1', ' 76', ' 64']
['3', ' 27360', ' 1', ' 1', ' 71', ' 79']
['3', ' 27456', ' 0', ' 1', ' 71', ' 64']
['3', ' 27456', ' 1', ' 1', ' 69', ' 79']
['3', ' 27776', ' 0', ' 1', ' 69', ' 64']
['3', ' 28320', ' 1', ' 1', ' 69', ' 79']
['3', ' 28384', ' 0', ' 1', ' 69', ' 64']
['3', ' 28416', ' 1', ' 1', ' 69', ' 79']
['3', ' 28480', ' 0', ' 1', ' 69', ' 64']
['3', ' 28512', ' 1', ' 1', ' 69', ' 79']
['3', ' 28576', ' 0', ' 1', ' 69', ' 64']
['3', ' 28608', ' 1', ' 1', ' 69', ' 79']
['3', ' 28672', ' 0', ' 1', ' 69', ' 64']
['3', ' 28704', ' 1', ' 1', ' 69', ' 79']
['3', ' 28768', ' 0', ' 1', ' 69', ' 64']
['3', ' 28800', ' 1', ' 1', ' 72', ' 79']
['3', ' 28864', ' 0', ' 1', ' 72', ' 64']
['3', ' 28896', ' 1', ' 1', ' 69', ' 79']
['3', ' 29120', ' 0', ' 1', ' 69', ' 64']
['3', ' 29760', ' 1', ' 1', ' 69', ' 79']
['3', ' 29856', ' 0', ' 1', ' 69', ' 64']
['3', ' 29856', ' 1', ' 1', ' 67', ' 79']
['3', ' 29920', ' 0', ' 1', ' 67', ' 64']
['3', ' 29952', ' 1', ' 1', ' 69', ' 79']
['3', ' 30112', ' 0', ' 1', ' 69', ' 64']
['3', ' 30144', ' 1', ' 1', ' 69', ' 79']
['3', ' 30304', ' 0', ' 1', ' 69', ' 64']
['3', ' 30336', ' 1', ' 1', ' 74', ' 79']
['3', ' 30432', ' 0', ' 1', ' 74', ' 64']
['3', ' 30432', ' 1', ' 1', ' 69', ' 79']
['3', ' 30624', ' 0', ' 1', ' 69', ' 64']
['3', ' 30624', ' 1', ' 1', ' 67', ' 79']
['3', ' 30720', ' 0', ' 1', ' 67', ' 64']
['3', ' 30720', ' 1', ' 1', ' 69', ' 79']
['3', ' 30972', ' 0', ' 1', ' 69', ' 64']
['3', ' 31392', ' 1', ' 1', ' 76', ' 79']
['3', ' 31456', ' 0', ' 1', ' 76', ' 64']
['3', ' 31488', ' 1', ' 1', ' 77', ' 79']
['3', ' 31584', ' 0', ' 1', ' 77', ' 64']
['3', ' 31584', ' 1', ' 1', ' 76', ' 79']
['3', ' 31680', ' 0', ' 1', ' 76', ' 64']
['3', ' 31680', ' 1', ' 1', ' 74', ' 79']
['3', ' 31744', ' 0', ' 1', ' 74', ' 64']
['3', ' 31776', ' 1', ' 1', ' 72', ' 79']
['3', ' 31840', ' 0', ' 1', ' 72', ' 64']
['3', ' 31872', ' 1', ' 1', ' 76', ' 79']
['3', ' 32000', ' 0', ' 1', ' 76', ' 64']
['3', ' 32064', ' 1', ' 1', ' 74', ' 79']
['3', ' 32160', ' 0', ' 1', ' 74', ' 64']
['3', ' 32160', ' 1', ' 1', ' 72', ' 79']
['3', ' 32224', ' 0', ' 1', ' 72', ' 64']
['3', ' 33024', ' 1', ' 1', ' 76', ' 79']
['3', ' 33088', ' 0', ' 1', ' 76', ' 64']
['3', ' 33120', ' 1', ' 1', ' 67', ' 79']
['3', ' 33184', ' 0', ' 1', ' 67', ' 64']
['3', ' 33216', ' 1', ' 1', ' 67', ' 79']
['3', ' 33280', ' 0', ' 1', ' 67', ' 64']
['3', ' 33312', ' 1', ' 1', ' 69', ' 79']
['3', ' 33472', ' 0', ' 1', ' 69', ' 64']
['3', ' 33504', ' 1', ' 1', ' 69', ' 79']
