['2', ' 0', ' 3', ' 0', ' 101']
['3', ' 99578', ' 1', ' 1', ' 58', ' 0']
['3', ' 99592', ' 1', ' 1', ' 60', ' 100']
['3', ' 99652', ' 1', ' 1', ' 60', ' 0']
['3', ' 99666', ' 1', ' 1', ' 60', ' 100']
['3', ' 99718', ' 1', ' 1', ' 64', ' 100']
['3', ' 99726', ' 1', ' 1', ' 60', ' 0']
['3', ' 99778', ' 1', ' 1', ' 64', ' 0']
['3', ' 99780', ' 1', ' 1', ' 64', ' 100']
['3', ' 99838', ' 1', ' 1', ' 65', ' 100']
['3', ' 99840', ' 1', ' 1', ' 64', ' 0']
['3', ' 99894', ' 1', ' 1', ' 65', ' 100']
['3', ' 99898', ' 1', ' 1', ' 65', ' 0']
['3', ' 99954', ' 1', ' 1', ' 65', ' 0']
['3', ' 99966', ' 1', ' 1', ' 67', ' 100']
['3', ' 100020', ' 1', ' 1', ' 67', ' 100']
['3', ' 100026', ' 1', ' 1', ' 67', ' 0']
['3', ' 100072', ' 1', ' 1', ' 70', ' 100']
['3', ' 100080', ' 1', ' 1', ' 67', ' 0']
['3', ' 100132', ' 1', ' 1', ' 70', ' 0']
['3', ' 100142', ' 1', ' 1', ' 70', ' 100']
['3', ' 100198', ' 1', ' 1', ' 72', ' 100']
['3', ' 100202', ' 1', ' 1', ' 70', ' 0']
['3', ' 100258', ' 1', ' 1', ' 72', ' 0']
['3', ' 100260', ' 1', ' 1', ' 72', ' 100']
['3', ' 100320', ' 1', ' 1', ' 72', ' 0']
['3', ' 100320', ' 1', ' 1', ' 55', ' 100']
['3', ' 100324', ' 1', ' 1', ' 76', ' 100']
['3', ' 100360', ' 1', ' 1', ' 76', ' 100']
['3', ' 100372', ' 1', ' 1', ' 55', ' 100']
['3', ' 100380', ' 1', ' 1', ' 55', ' 0']
['3', ' 100384', ' 1', ' 1', ' 76', ' 0']
['3', ' 100420', ' 1', ' 1', ' 76', ' 0']
['3', ' 100432', ' 1', ' 1', ' 55', ' 0']
['3', ' 100436', ' 1', ' 1', ' 58', ' 100']
['3', ' 100454', ' 1', ' 1', ' 77', ' 100']
['3', ' 100478', ' 1', ' 1', ' 58', ' 100']
['3', ' 100496', ' 1', ' 1', ' 58', ' 0']
['3', ' 100510', ' 1', ' 1', ' 77', ' 100']
['3', ' 100514', ' 1', ' 1', ' 77', ' 0']
['3', ' 100538', ' 1', ' 1', ' 58', ' 0']
['3', ' 100552', ' 1', ' 1', ' 79', ' 100']
['3', ' 100552', ' 1', ' 1', ' 60', ' 100']
['3', ' 100570', ' 1', ' 1', ' 77', ' 0']
['3', ' 100612', ' 1', ' 1', ' 60', ' 0']
['3', ' 100612', ' 1', ' 1', ' 79', ' 0']
['3', ' 100620', ' 1', ' 1', ' 79', ' 100']
['3', ' 100626', ' 1', ' 1', ' 60', ' 100']
['3', ' 100678', ' 1', ' 1', ' 64', ' 100']
['3', ' 100680', ' 1', ' 1', ' 79', ' 0']
['3', ' 100686', ' 1', ' 1', ' 60', ' 0']
['3', ' 100738', ' 1', ' 1', ' 64', ' 0']
['3', ' 100740', ' 1', ' 1', ' 64', ' 100']
['3', ' 100798', ' 1', ' 1', ' 65', ' 100']
['3', ' 100800', ' 1', ' 1', ' 64', ' 0']
['3', ' 100854', ' 1', ' 1', ' 65', ' 100']
['3', ' 100858', ' 1', ' 1', ' 65', ' 0']
['3', ' 100914', ' 1', ' 1', ' 65', ' 0']
['3', ' 100926', ' 1', ' 1', ' 67', ' 100']
